year,make,number
2005,ALEXANDER DENNIS,0
2005,ANKAI,0
2005,AVIA,0
2005,CHERY,0
2005,CITROEN,0
2005,COBUS,6
2005,CONDIESEL,0
2005,D.A.F.,46
2005,D.K.R.,19
2005,DAEWOO,0
2005,DENNIS,85
2005,FIAT,0
2005,FORD,152
2005,FOTON,0
2005,FREIGHT ROVER,0
2005,GAC,0
2005,GOLDEN DRAGON,0
2005,HENGTONG,0
2005,HIGER,0
2005,HINO,477
2005,HYUNDAI,99
2005,ISUZU,505
2005,IVECO,4
2005,JINBEI,0
2005,JOYLONG,0
2005,KIA,193
2005,KING LONG,23
2005,LEYLAND,201
2005,MAN,11
2005,MAZDA,36
2005,MERCEDES BENZ,2963
2005,MITSUBISHI,1477
2005,NIPPON,0
2005,NISSAN,1911
2005,NORDCO,1
2005,OPEL,73
2005,PEUGEOT,0
2005,RENAULT,48
2005,SCANIA,401
2005,SHUCHI,0
2005,SUNLONG,0
2005,TATA,13
2005,TEAGLE,0
2005,TOYOTA,2941
2005,VAN HOOL,0
2005,VOLKSWAGEN,90
2005,VOLVO,1703
2005,YOUNGMAN,0
2005,YUTONG,0
2005,ZHONG TONG,0
2005,ZONDA,0
2005,OTHERS,16
2006,ALEXANDER DENNIS,0
2006,ANKAI,0
2006,AVIA,0
2006,CHERY,0
2006,CITROEN,0
2006,COBUS,6
2006,CONDIESEL,7
2006,D.A.F.,46
2006,D.K.R.,19
2006,DAEWOO,3
2006,DENNIS,85
2006,FIAT,0
2006,FORD,135
2006,FOTON,0
2006,FREIGHT ROVER,0
2006,GAC,0
2006,GOLDEN DRAGON,0
2006,HENGTONG,0
2006,HIGER,0
2006,HINO,475
2006,HYUNDAI,89
2006,ISUZU,610
2006,IVECO,4
2006,JINBEI,0
2006,JOYLONG,0
2006,KIA,218
2006,KING LONG,40
2006,LEYLAND,201
2006,MAN,10
2006,MAZDA,33
2006,MERCEDES BENZ,2900
2006,MITSUBISHI,1600
2006,NIPPON,0
2006,NISSAN,1987
2006,NORDCO,1
2006,OPEL,81
2006,PEUGEOT,0
2006,RENAULT,51
2006,SCANIA,438
2006,SHUCHI,0
2006,SUNLONG,0
2006,TATA,9
2006,TEAGLE,0
2006,TOYOTA,3063
2006,VAN HOOL,0
2006,VOLKSWAGEN,86
2006,VOLVO,1910
2006,YOUNGMAN,0
2006,YUTONG,0
2006,ZHONG TONG,0
2006,ZONDA,0
2006,OTHERS,13
2007,ALEXANDER DENNIS,0
2007,ANKAI,0
2007,AVIA,0
2007,CHERY,0
2007,CITROEN,0
2007,COBUS,6
2007,CONDIESEL,7
2007,D.A.F.,45
2007,D.K.R.,19
2007,DAEWOO,3
2007,DENNIS,85
2007,FIAT,1
2007,FORD,115
2007,FOTON,0
2007,FREIGHT ROVER,0
2007,GAC,0
2007,GOLDEN DRAGON,6
2007,HENGTONG,0
2007,HIGER,0
2007,HINO,467
2007,HYUNDAI,78
2007,ISUZU,687
2007,IVECO,3
2007,JINBEI,0
2007,JOYLONG,0
2007,KIA,214
2007,KING LONG,85
2007,LEYLAND,199
2007,MAN,12
2007,MAZDA,32
2007,MERCEDES BENZ,2879
2007,MITSUBISHI,1550
2007,NIPPON,0
2007,NISSAN,1946
2007,NORDCO,1
2007,OPEL,95
2007,PEUGEOT,0
2007,RENAULT,46
2007,SCANIA,555
2007,SHUCHI,0
2007,SUNLONG,0
2007,TATA,8
2007,TEAGLE,0
2007,TOYOTA,3501
2007,VAN HOOL,0
2007,VOLKSWAGEN,78
2007,VOLVO,1797
2007,YOUNGMAN,0
2007,YUTONG,0
2007,ZHONG TONG,0
2007,ZONDA,0
2007,OTHERS,10
2008,ALEXANDER DENNIS,0
2008,ANKAI,0
2008,AVIA,0
2008,CHERY,0
2008,CITROEN,11
2008,COBUS,6
2008,CONDIESEL,7
2008,D.A.F.,45
2008,D.K.R.,19
2008,DAEWOO,3
2008,DENNIS,85
2008,FIAT,14
2008,FORD,101
2008,FOTON,0
2008,FREIGHT ROVER,0
2008,GAC,0
2008,GOLDEN DRAGON,18
2008,HENGTONG,0
2008,HIGER,0
2008,HINO,452
2008,HYUNDAI,81
2008,ISUZU,759
2008,IVECO,3
2008,JINBEI,0
2008,JOYLONG,0
2008,KIA,205
2008,KING LONG,136
2008,LEYLAND,198
2008,MAN,15
2008,MAZDA,19
2008,MERCEDES BENZ,2779
2008,MITSUBISHI,1532
2008,NIPPON,0
2008,NISSAN,1955
2008,NORDCO,1
2008,OPEL,103
2008,PEUGEOT,7
2008,RENAULT,41
2008,SCANIA,841
2008,SHUCHI,0
2008,SUNLONG,0
2008,TATA,0
2008,TEAGLE,0
2008,TOYOTA,4041
2008,VAN HOOL,0
2008,VOLKSWAGEN,70
2008,VOLVO,1722
2008,YOUNGMAN,0
2008,YUTONG,33
2008,ZHONG TONG,0
2008,ZONDA,12
2008,OTHERS,13
2009,ALEXANDER DENNIS,0
2009,ANKAI,0
2009,AVIA,0
2009,CHERY,0
2009,CITROEN,17
2009,COBUS,6
2009,CONDIESEL,7
2009,D.A.F.,45
2009,D.K.R.,19
2009,DAEWOO,3
2009,DENNIS,85
2009,FIAT,31
2009,FORD,85
2009,FOTON,0
2009,FREIGHT ROVER,0
2009,GAC,0
2009,GOLDEN DRAGON,19
2009,HENGTONG,0
2009,HIGER,28
2009,HINO,437
2009,HYUNDAI,81
2009,ISUZU,806
2009,IVECO,4
2009,JINBEI,0
2009,JOYLONG,0
2009,KIA,194
2009,KING LONG,205
2009,LEYLAND,198
2009,MAN,17
2009,MAZDA,15
2009,MERCEDES BENZ,2606
2009,MITSUBISHI,1549
2009,NIPPON,0
2009,NISSAN,1942
2009,NORDCO,1
2009,OPEL,108
2009,PEUGEOT,12
2009,RENAULT,41
2009,SCANIA,1210
2009,SHUCHI,0
2009,SUNLONG,0
2009,TATA,0
2009,TEAGLE,0
2009,TOYOTA,4377
2009,VAN HOOL,0
2009,VOLKSWAGEN,59
2009,VOLVO,1713
2009,YOUNGMAN,0
2009,YUTONG,53
2009,ZHONG TONG,0
2009,ZONDA,33
2009,OTHERS,17
2010,ALEXANDER DENNIS,0
2010,ANKAI,0
2010,AVIA,0
2010,CHERY,0
2010,CITROEN,20
2010,COBUS,6
2010,CONDIESEL,7
2010,D.A.F.,45
2010,D.K.R.,19
2010,DAEWOO,3
2010,DENNIS,80
2010,FIAT,35
2010,FORD,76
2010,FOTON,17
2010,FREIGHT ROVER,0
2010,GAC,0
2010,GOLDEN DRAGON,69
2010,HENGTONG,0
2010,HIGER,86
2010,HINO,393
2010,HYUNDAI,76
2010,ISUZU,853
2010,IVECO,4
2010,JINBEI,0
2010,JOYLONG,0
2010,KIA,191
2010,KING LONG,323
2010,LEYLAND,167
2010,MAN,29
2010,MAZDA,13
2010,MERCEDES BENZ,2281
2010,MITSUBISHI,1519
2010,NIPPON,0
2010,NISSAN,1939
2010,NORDCO,1
2010,OPEL,109
2010,PEUGEOT,12
2010,RENAULT,41
2010,SCANIA,1446
2010,SHUCHI,0
2010,SUNLONG,0
2010,TATA,0
2010,TEAGLE,0
2010,TOYOTA,4524
2010,VAN HOOL,0
2010,VOLKSWAGEN,54
2010,VOLVO,1719
2010,YOUNGMAN,0
2010,YUTONG,87
2010,ZHONG TONG,9
2010,ZONDA,40
2010,OTHERS,16
2011,ALEXANDER DENNIS,0
2011,ANKAI,0
2011,AVIA,0
2011,CHERY,0
2011,CITROEN,22
2011,COBUS,6
2011,CONDIESEL,7
2011,D.A.F.,45
2011,D.K.R.,19
2011,DAEWOO,3
2011,DENNIS,75
2011,FIAT,38
2011,FORD,68
2011,FOTON,35
2011,FREIGHT ROVER,0
2011,GAC,0
2011,GOLDEN DRAGON,218
2011,HENGTONG,0
2011,HIGER,134
2011,HINO,350
2011,HYUNDAI,82
2011,ISUZU,854
2011,IVECO,4
2011,JINBEI,0
2011,JOYLONG,0
2011,KIA,188
2011,KING LONG,450
2011,LEYLAND,145
2011,MAN,87
2011,MAZDA,12
2011,MERCEDES BENZ,2322
2011,MITSUBISHI,1486
2011,NIPPON,0
2011,NISSAN,1964
2011,NORDCO,1
2011,OPEL,105
2011,PEUGEOT,12
2011,RENAULT,44
2011,SCANIA,1493
2011,SHUCHI,0
2011,SUNLONG,23
2011,TATA,0
2011,TEAGLE,0
2011,TOYOTA,4795
2011,VAN HOOL,0
2011,VOLKSWAGEN,46
2011,VOLVO,1721
2011,YOUNGMAN,0
2011,YUTONG,111
2011,ZHONG TONG,23
2011,ZONDA,43
2011,OTHERS,15
2012,ALEXANDER DENNIS,0
2012,ANKAI,0
2012,AVIA,0
2012,CHERY,3
2012,CITROEN,22
2012,COBUS,5
2012,CONDIESEL,7
2012,D.A.F.,27
2012,D.K.R.,19
2012,DAEWOO,3
2012,DENNIS,58
2012,FIAT,39
2012,FORD,59
2012,FOTON,46
2012,FREIGHT ROVER,0
2012,GAC,0
2012,GOLDEN DRAGON,298
2012,HENGTONG,0
2012,HIGER,159
2012,HINO,288
2012,HYUNDAI,85
2012,ISUZU,854
2012,IVECO,3
2012,JINBEI,2
2012,JOYLONG,0
2012,KIA,176
2012,KING LONG,475
2012,LEYLAND,32
2012,MAN,226
2012,MAZDA,10
2012,MERCEDES BENZ,2375
2012,MITSUBISHI,1398
2012,NIPPON,0
2012,NISSAN,1880
2012,NORDCO,0
2012,OPEL,100
2012,PEUGEOT,12
2012,RENAULT,38
2012,SCANIA,1466
2012,SHUCHI,0
2012,SUNLONG,51
2012,TATA,0
2012,TEAGLE,0
2012,TOYOTA,4935
2012,VAN HOOL,0
2012,VOLKSWAGEN,45
2012,VOLVO,1736
2012,YOUNGMAN,0
2012,YUTONG,138
2012,ZHONG TONG,31
2012,ZONDA,44
2012,OTHERS,17
2013,ALEXANDER DENNIS,0
2013,ANKAI,19
2013,AVIA,0
2013,CHERY,3
2013,CITROEN,20
2013,COBUS,7
2013,CONDIESEL,7
2013,D.A.F.,26
2013,D.K.R.,19
2013,DAEWOO,3
2013,DENNIS,16
2013,FIAT,36
2013,FORD,52
